occ_code,occupation_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,annual_mean_wage,total_employment,computer_use_score,physical_presence_index,customer_facing_index,education_index,task_usage_pct,frontline_origin_task_usage_pct,major_group,frontline_soc,calibrated_employment_pct,any_ai_use,log_wage,ai_access_gap,frontline_physical,frontline_customer
25-2052,,,,,71770.0,212850.0,,,,,0.0,0.0,25,0,0.1401673287510991,,11.181221840424117,,,
25-2055,,,0.4,0.5333333333333333,,,,,,,0.02029289853288879,0.0,25,0,,,,,,
25-2056,,,0.5333333333333333,0.5333333333333333,,,3.63,2.3499999999999996,4.183333333333334,6.343965603439656,0.02029289853288879,0.0,25,0,,,,,0.0,0.0
25-2057,"Special Education Teachers, Middle School",0.134,0.5324675324675325,0.4805194805194805,73630.0,88850.0,3.84,2.9025000000000003,3.9033333333333338,6.353599999999999,0.013092192601863712,0.0,25,0,0.05851006417446631,1.0,11.206807830362763,0.3984675324675325,0.0,0.0
25-2058,"Special Education Teachers, Secondary School",0.0989,0.5,0.4358974358974359,74670.0,158150.0,4.49,2.3075,4.433333333333334,6.998200000000001,0.03744367084133054,0.0,25,0,0.10414593865156835,1.0,11.220833684029747,0.4011,0.0,1.0
25-2059,"Special Education Teachers, All Other",0.0257,0.65,0.3,76000.0,43700.0,3.24,3.68,4.173333333333333,6.9047,0.06506819723126304,0.0,25,0,0.028777600499990747,1.0,11.238488619268468,0.6243000000000001,1.0,0.0
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.0636,0.6323529411764706,0.6323529411764706,65430.0,36890.0,3.65,2.0225,3.966666666666667,5.934106589341066,0.4861131113072035,0.0,25,0,0.02429303621154825,1.0,11.088736147863784,0.5687529411764706,0.0,0.0
25-3021,Self-Enrichment Teachers,0.0662,0.56,0.56,52890.0,272110.0,2.83,1.8699999999999997,4.216666666666667,5.5111511151115105,0.10067896110833258,0.0,25,0,0.17919159890280278,1.0,10.875969564060025,0.49380000000000007,0.0,0.0
25-3031,,,0.4444444444444444,0.1666666666666666,43570.0,444530.0,3.25,2.3525,3.6199999999999997,5.136813681368137,0.0,0.0,25,0,0.2927347082439562,,10.682124119111489,,0.0,0.0
25-3041,Tutors,0.4077,0.9142857142857144,0.5714285714285714,48580.0,162300.0,3.45,1.43,4.37,4.909299999999999,1.5685755956293044,0.0,25,0,0.1068788229095766,1.0,10.790967202556164,0.5065857142857144,0.0,0.0
25-3099,,,,,70340.0,118290.0,,,,,0.0,0.0,25,0,0.07789707924814429,,11.161095906027974,,,
25-4011,Archivists,0.1348,0.9230769230769232,0.7692307692307693,65700.0,7150.0,4.52,1.8925,4.306666666666667,7.903199999999999,1.4838691094952456,0.0,25,0,0.0047084632397010025,1.0,11.092854204472703,0.7882769230769232,0.0,0.0
25-4012,Curators,0.4123,0.8518518518518519,0.7777777777777777,70870.0,12510.0,3.99,2.185,4.319999999999999,8.744674467446744,0.16286687596718577,0.0,25,0,0.008238164353658678,1.0,11.168602491804302,0.43955185185185186,0.0,0.0
25-4013,Museum Technicians and Conservators,0.0,0.4210526315789473,0.3684210526315789,54890.0,12670.0,3.31,2.59,3.9233333333333333,6.266726672667266,0.031290340318454214,0.0,25,0,0.008343528566015624,0.0,10.913086461543935,0.4210526315789473,0.0,0.0
25-4022,Librarians and Media Collections Specialists,0.2032,0.912280701754386,0.7368421052631579,68570.0,133760.0,4.74,2.14,4.383333333333334,7.157984201579842,0.33005417549298605,0.0,25,0,0.08808448153040646,1.0,11.13561040027841,0.7090807017543861,0.0,0.0
25-4031,Library Technicians,0.054,0.75,0.7884615384615385,42570.0,76670.0,4.29,1.9825,4.176666666666667,4.4704529547045295,0.09819144451397836,0.0,25,0,0.05048921350879383,1.0,10.658905058822198,0.696,0.0,0.0
25-9021,Farm and Home Management Educators,0.0,0.6666666666666666,0.7037037037037037,61430.0,8110.0,4.19,2.92,4.61,7.333666733346668,0.0506667853692127,0.0,25,0,0.005340648513842676,0.0,11.025653594157973,0.6666666666666666,0.0,1.0
25-9031,Instructional Coordinators,0.3043,0.8,0.775,77200.0,207270.0,4.45,2.075,4.46,7.698930106989302,0.9796887723974688,0.0,25,0,0.1364927518451506,1.0,11.254154736012868,0.49570000000000003,0.0,1.0
25-9042,,,0.4666666666666667,0.4,,,3.12,3.0025,3.9433333333333334,4.185481451854814,0.05324158324757948,0.0,25,0,,,,,0.0,0.0
25-9043,,,0.3666666666666666,0.3666666666666666,,,3.11,2.7525000000000004,4.000000000000001,4.5778,0.05324158324757948,0.0,25,0,,,,,0.0,0.0
25-9044,"Teaching Assistants, Postsecondary",0.1002,0.7272727272727273,0.5454545454545454,47030.0,145960.0,4.22,1.9475000000000002,3.9800000000000004,6.908190819081907,0.1772682878292359,0.0,25,0,0.09611850272262355,1.0,10.758540974939093,0.6270727272727273,0.0,0.0
25-9045,,,,,36430.0,1337320.0,,,,,0.0,0.0,25,0,0.8806604279324399,,10.503147890002609,,,
25-9049,,,,,,,,,,,0.05324158324757948,0.0,25,0,,,,,,
25-9099,,,,,54910.0,113490.0,,,,,0.0,0.0,25,0,0.07473615287743592,,10.913450760272918,,,
27-1011,Art Directors,0.2098,0.9310344827586208,0.7931034482758621,125920.0,51200.0,4.57,1.5724999999999998,4.083333333333333,5.633663366336633,0.1250304393477992,0.0,27,0,0.03371630495021292,1.0,11.74340206365123,0.7212344827586208,0.0,0.0
